ID,Recorder,Start Min,Start Max,End Min,End Max,PRFA Sex,Comments
52,2,5/2/24 10:00 AM,5/2/24 9:10 AM,5/2/24 11:00 AM,5/2/24 11:48 AM,1,
53,2,5/2/24 12:00 PM,5/2/24 11:48 AM,5/2/24 2:00 PM,5/2/24 1:59 AM,2,
54,2,5/2/24 2:00 PM,5/2/24 1:59 AM,5/2/24 3:00 PM,5/2/24 3:51 PM,1,This and previous observation's max times overlap--nest swap not documented
55,2,5/2/24 4:00 PM,5/2/24 3:51 PM,5/2/24 8:00 PM,5/2/24 8:49 PM,2,
56,2,5/2/24 9:00 PM,5/2/24 8:49 PM,5/3/24 7:00 AM,5/3/24 7:40 AM,1,
57,2,5/3/24 8:00 AM,5/3/24 7:40 AM,5/3/24 8:00 AM,5/3/24 8:52 AM,2,
58,2,5/3/24 9:00 AM,5/3/24 8:52 AM,5/3/24 10:00 AM,5/3/24 10:37 AM,1,
59,2,5/3/24 11:00 AM,5/3/24 10:37 AM,5/3/24 1:00 PM,5/3/24 1:37 PM,1,
60,2,5/3/24 2:00 PM,5/3/24 1:37 PM,5/3/24 2:01 PM,5/3/24 2:01 PM,2,
61,2,5/3/24 3:00 PM,5/3/24 2:01 PM,5/3/24 6:00 PM,5/3/24 6:51 PM,1,
62,2,5/3/24 7:00 PM,5/3/24 6:51 PM,5/3/24 8:00 PM,5/3/24 8:06 PM,2,
63,2,5/3/24 9:00 PM,5/3/24 8:06 PM,5/4/24 7:00 AM,5/4/24 7:24 AM,1,
64,2,5/4/24 8:00 AM,5/4/24 7:24 AM,5/4/24 8:00 AM,5/4/24 8:08 AM,2,
65,2,5/4/24 9:00 AM,5/4/24 8:08 AM,5/4/24 9:00 AM,5/4/24 9:43 AM,1,
66,2,5/4/24 10:00 AM,5/4/24 9:43 AM,5/4/24 3:00 PM,5/4/24 3:59 PM,1,
67,2,5/4/24 4:00 PM,5/4/24 3:00 PM,5/4/24 5:00 PM,5/4/24 5:11 PM,2,This and previous observation's max times overlap--nest swap not documented
68,2,5/4/24 6:00 PM,5/4/24 5:11 PM,5/4/24 6:00 PM,5/4/24 6:13 PM,1,
69,2,5/4/24 7:00 PM,5/4/24 6:14 PM,5/4/24 7:00 PM,5/4/24 7:16 PM,1,
70,2,5/4/24 8:00 PM,5/4/24 7:16 PM,5/5/24 10:00 AM,5/5/24 10:14 AM,2,
71,2,5/5/24 11:00 AM,5/5/24 10:15 AM,5/5/24 2:00 PM,5/5/24 2:16 PM,1,
72,2,5/5/24 3:00 PM,5/5/24 2:16 PM,5/5/24 3:00 PM,5/5/24 3:20 PM,2,
73,2,5/5/24 4:00 PM,5/5/24 3:22 PM,5/5/24 5:06 PM,5/5/24 5:27 PM,1,
74,2,5/5/24 6:00 PM,5/5/24 5:27 PM,5/5/24 7:00 PM,5/5/24 7:35 PM,2,
75,2,5/5/24 8:00 PM,5/5/24 7:35 PM,5/5/24 9:00 PM,5/5/24 9:28 PM,1,
76,2,5/5/24 10:00 PM,5/5/24 9:28 PM,5/6/24 4:00 AM,5/6/24 4:43 AM,1,
77,2,5/6/24 4:43 AM,5/6/24 5:00 AM,5/6/24 7:13 AM,5/6/24 7:43 AM,1,
78,2,5/6/24 8:00 AM,5/6/24 7:50 AM,5/6/24 10:00 AM,5/6/24 10:39 AM,1,
79,2,5/6/24 11:00 AM,5/6/24 10:39 AM,5/6/24 11:00 AM,5/6/24 10:18 AM,2,
80,2,5/6/24 12:00 PM,5/6/24 11:18 AM,5/6/24 12:00 PM,5/6/24 12:49 PM,1,
81,2,5/6/24 1:00 PM,5/6/24 12:49 PM,5/6/24 2:00 PM,5/6/24 2:06 PM,2,
82,2,5/6/24 2:25 PM,5/6/24 2:07 PM,5/6/24 3:00 PM,5/6/24 3:56 PM,1,
83,2,5/6/24 4:00 PM,5/6/24 3:56 PM,5/6/24 4:00 PM,5/6/24 4:54 PM,2,
84,2,5/6/24 5:00 PM,5/6/24 4:54 PM,5/6/24 8:00 PM,5/6/24 8:12 PM,1,
85,2,5/6/24 9:00 PM,5/6/24 8:12 PM,5/7/24 6:00 AM,5/7/24 6:00 AM,1,
86,2,5/7/24 7:00 AM,5/7/24 6:00 AM,5/7/24 7:00 AM,5/7/24 7:10 AM,1,
87,2,5/7/24 8:00 AM,5/7/24 7:45 AM,5/7/24 8:00 AM,5/7/24 8:11 AM,2,
88,2,5/7/24 9:00 AM,5/7/24 8:11 AM,5/7/24 10:00 AM,5/7/24 10:39 AM,1,
89,2,5/7/24 12:00 PM,5/7/24 11:00 AM,5/7/24 12:00 PM,5/7/24 12:59 PM,1,
90,2,5/7/24 2:00 PM,5/7/24 1:42 PM,5/7/24 4:00 PM,5/7/24 4:27 PM,2,
91,2,5/7/24 4:31 PM,5/7/24 4:28 PM,5/8/24 8:00 AM,5/8/24 8:29 AM,1,
92,2,5/8/24 9:00 AM,5/8/24 8:29 AM,5/8/24 9:00 AM,5/8/24 9:34 AM,1,
93,2,5/8/24 10:00 AM,5/8/24 9:36 AM,5/8/24 10:00 AM,5/8/24 10:24 AM,1,
94,2,5/8/24 11:00 AM,5/8/24 10:39 AM,5/8/24 11:00 AM,5/8/24 11:09 AM,2,
95,2,5/8/24 12:00 PM,5/8/24 11:09 AM,5/8/24 12:00 PM,5/8/24 12:15 PM,1,
96,2,5/8/24 1:00 PM,5/8/24 12:15 PM,5/8/24 1:00 PM,5/8/24 1:40 PM,2,
97,2,5/8/24 2:00 PM,5/8/24 1:40 PM,5/8/24 4:00 PM,5/8/24 4:58 PM,1,
98,2,5/8/24 6:00 PM,5/8/24 5:08 PM,5/8/24 6:00 PM,5/8/24 6:48 PM,2,
99,2,5/8/24 7:00 PM,5/8/24 6:48 PM,5/8/24 7:00 PM,5/8/24 7:10 PM,2,
100,2,5/8/24 8:00 PM,5/8/24 7:10 PM,5/8/24 8:00 PM,5/8/24 8:33 PM,1,
101,2,5/8/24 9:00 PM,5/8/24 8:33 PM,5/8/24 11:00 PM,5/8/24 11:31 PM,1,
102,2,5/9/24 12:00 AM,5/8/24 11:32 PM,5/9/24 5:00 AM,5/9/24 5:48 AM,1,
103,2,5/9/24 6:00 AM,5/9/24 5:51 AM,5/9/24 8:38 AM,5/9/24 8:38 AM,1,
104,2,5/9/24 9:00 AM,5/9/24 8:38 AM,5/9/24 9:00 AM,5/9/24 9:41 AM,2,
105,2,5/9/24 10:00 AM,5/9/24 9:40 AM,5/9/24 10:00 AM,5/9/24 10:45 AM,1,
106,2,5/9/24 11:00 AM,5/9/24 10:45 AM,5/9/24 11:15 AM,5/9/24 11:33 AM,1,
107,2,5/9/24 12:00 PM,5/9/24 11:33 AM,5/9/24 12:02 PM,5/9/24 12:02 PM,2,
108,2,5/9/24 1:00 PM,5/9/24 12:02 PM,5/9/24 5:00 PM,5/9/24 5:59 PM,1,
109,2,5/9/24 6:00 PM,5/9/24 5:00 PM,5/9/24 8:00 PM,5/9/24 8:50 PM,2,This and previous observation's max times overlap--nest swap not documented
110,2,5/9/24 9:00 PM,5/9/24 8:50 PM,5/10/24 12:00 PM,5/10/24 12:06 PM,1,
111,2,5/10/24 1:00 PM,5/10/24 12:33 PM,5/10/24 3:00 PM,5/10/24 3:02 PM,1,
112,2,5/10/24 4:00 PM,5/10/24 3:20 PM,5/10/24 4:00 PM,5/10/24 4:38 PM,2,
113,2,5/10/24 6:00 PM,5/10/24 5:00 PM,5/10/24 6:00 PM,5/10/24 6:04 PM,1,
114,2,5/10/24 7:00 PM,5/10/24 6:47 PM,5/10/24 7:00 PM,5/10/24 7:59 PM,2,
